Set,Uzk_1,Uztwm_1,Uzfwm_1,Rexp_1,Lztwm_1,Uzk_2,Uztwm_2,Uzfwm_2,Rexp_2,Lztwm_2
78,0.709646295,245.9234605,51.79173897,3.300884067,652.9941632,0.517047555,188.4645571,41.36798514,2.606643577,351.8830145
79,1.303481832,195.3422027,69.44638894,2.097938806,793.2818655,0.838940709,187.124977,46.61786874,1.153264499,168.9385132
80,1.292281408,226.2436062,56.71711735,0.997885507,719.7235015,0.710612002,90.564665,23.364408,3.198479956,485.4490964
81,1.049233004,168.9066775,93.42968708,1.211199737,94.69203985,0.521214093,52.41345192,38.25716767,4.7032986,618.2249047
82,1.277288757,124.3539501,42.48920215,0.685510013,104.0403492,0.52590892,244.3756501,26.10065425,3.454185924,660.0636938
83,0.209054692,246.4494008,63.10448292,1.469598766,418.8980577,1.466806263,159.5068926,4.108704204,3.487600891,490.1865491
84,0.830317306,91.92547281,74.0103827,2.979256138,599.5072332,1.336534476,146.0144125,68.38135729,1.905621218,195.1733468
85,0.964500564,80.89273385,29.72315664,1.806727171,446.8830249,0.131416652,161.3426975,61.17684162,1.227618462,75.31797812
86,0.601594478,103.3128253,56.02603126,0.546672062,128.0265005,0.425588655,124.170692,65.20960659,0.700464901,191.4145776
87,0.415566241,222.30586,8.98185794,2.298386952,152.2838401,1.172425885,101.7866703,11.70908654,2.399257971,240.6509603
88,0.423400236,203.369928,85.69312121,3.803007018,686.0622975,0.214545703,69.13985297,83.76186302,3.384723531,602.2117441
89,0.510459841,171.3774588,12.21370775,0.558628007,746.583855,0.349179308,222.6894856,14.89916445,1.781793663,273.2456617
90,1.181311243,217.6307321,76.39360835,2.492358942,658.0263891,1.16505338,44.29809833,8.738412792,1.723436467,144.616702
91,0.688250443,94.58100368,45.04804254,4.125294694,733.7112518,1.202278687,194.5762429,94.89854806,1.669310576,658.2450287
92,0.674744093,37.78668676,30.00204652,4.696704654,376.680152,1.434683354,99.58004803,26.12306649,4.324897345,378.8217762
93,0.693454644,181.457595,64.79418752,3.613699138,310.0541121,0.308795138,249.3207039,76.18548658,3.499997228,659.0823517
94,0.147866859,161.0676975,97.99406947,1.125632223,627.4885765,1.212618116,54.83049054,26.68473503,1.484750368,772.5491674
95,0.732068541,184.3118635,28.57234943,1.049068268,308.7263951,0.478235837,180.600395,16.38759478,1.17143145,676.2414084
96,1.449268197,57.16689635,6.130437414,0.543666595,778.5734068,1.407644554,108.6871626,92.32590445,2.482607361,395.0204498
97,0.856440016,126.9095917,86.67696558,2.378512812,140.6647432,0.195330408,215.335486,17.90169028,3.202918172,627.2543109
98,1.036191583,143.6202125,96.917487,2.960261967,468.6493322,0.983113639,127.8136494,99.27579244,3.760987153,57.67091438
99,1.15122064,67.1388742,7.790044907,0.867593536,608.901535,0.587226567,136.0818957,65.10335223,4.117279295,432.7657192
100,1.171143244,77.9052868,45.59421383,2.500949335,445.1948783,0.493876678,114.0198273,19.24190422,4.217112507,249.2721158
101,0.420804524,78.54936902,54.71855861,1.86314466,757.6029661,0.247268168,111.1429619,64.16194968,4.540117487,102.6051313
102,0.765791419,224.1476719,16.11032703,4.073680874,541.6872508,0.693506116,212.8316787,85.77629153,3.981350873,402.1806262
103,0.486981264,34.19115406,51.58743873,1.600542962,229.8756369,0.161389431,57.71219552,98.63713349,4.095374877,445.8668524
104,0.256133734,248.4886185,98.24912514,4.259024919,570.3469254,1.374488714,215.7779285,86.83277211,1.028616505,83.17962371
105,1.403574014,138.2887829,85.55924554,2.659970214,553.0617097,0.739245275,55.8332376,67.53543689,1.059762983,451.055631
106,0.497411992,247.6539121,21.49801637,1.662189331,510.2837945,0.912619513,248.8303221,16.55007194,1.87057403,604.0205743
107,0.269805973,204.3699396,26.22999714,4.849325201,293.8766307,1.178144127,192.9509761,49.52177408,2.884659445,548.246901
108,0.262579354,244.0498511,46.66871343,0.904639623,256.6541357,0.865088772,44.11293509,34.08333788,1.874616617,253.0423724
109,0.140970213,104.0320642,32.34566358,0.520616145,515.1689872,0.424782011,91.86642153,42.39431847,1.5532662,492.1030438
110,0.670251066,142.1960191,20.74222273,1.63866225,787.0638327,0.692691687,74.29692579,59.58405178,1.840026021,329.2676496
111,0.452418768,165.4756484,31.13005848,0.626275776,457.7975816,0.135341562,183.8971171,42.93940038,4.426580243,70.51221472
112,0.706100891,223.9203733,54.41566919,4.582529342,684.8466878,1.223574891,58.78336384,99.39937958,3.246048376,335.0060884
113,0.353823365,72.6197873,13.04616625,3.667942758,77.01410943,0.488012469,37.82146535,51.89725986,1.634533839,540.3076019
114,1.464411093,228.2415931,73.61803423,4.361573745,142.4745769,0.376221798,55.617205,6.070962197,2.385274139,382.4119138
115,1.161162854,177.4403208,52.83270686,3.097030957,556.534411,0.322093403,77.17876888,28.89985706,1.521094077,620.3032663
116,0.400081723,234.5158217,32.64861551,1.303647552,590.3452534,0.947301397,188.5699306,53.27312693,4.128764106,354.3085887
117,0.914949665,106.7030486,87.77630544,4.868096356,752.0477667,0.475719458,97.07770174,47.91707905,3.003671112,331.6187518
118,0.870167819,144.5325606,12.10468835,2.114545838,182.1929498,0.774429674,136.803218,18.51092742,1.640995581,612.532632
119,0.199727972,190.5524534,15.81048954,0.803420607,691.3998957,0.611601798,184.8175701,8.17388451,1.424730207,417.163259
120,0.9682896,73.38514548,74.29365005,2.469614387,470.2417459,0.396747906,185.9377041,58.62045644,3.065750441,617.9595148
121,1.406501357,233.7403495,4.682522184,2.792468051,563.7162069,1.475049381,228.1426112,7.178712225,0.921337255,133.6003649
122,0.213867796,151.6296815,85.36979525,1.727143963,565.3486612,0.337174322,125.6891385,91.81808943,2.466743303,515.4221136
123,0.812284432,165.8547599,23.45529976,4.681989572,667.1447817,1.263715345,143.8559124,44.02297186,3.158165895,753.3557631
124,1.456266318,135.7258102,77.97373737,4.71766854,664.3979311,0.802006965,137.9720207,76.55348542,1.849889622,750.2654037
125,0.664182954,93.61459939,6.687825887,4.615374006,106.6042173,0.959992916,240.8900833,82.23732734,2.284363275,234.0066029
126,1.217265358,167.7842606,61.72174455,2.008478152,304.6035965,0.192714843,195.3642574,55.26538559,0.53318876,696.0678977
127,1.095498026,154.477563,37.57901253,4.924830351,669.6520475,1.380060367,61.16998625,13.53775615,0.609926645,143.0618671
128,0.735704569,35.19477289,36.70268055,0.659872277,201.614383,1.261223517,67.26792594,88.28542196,3.010230269,747.2223452
129,0.960473352,66.47990165,73.1066594,2.223301209,87.89127117,0.159621286,188.799592,61.33246729,3.26826114,61.78759714
130,0.828875603,170.4415127,21.15225888,1.731628104,781.4670292,0.878865442,211.4782236,12.39698098,3.118202338,409.2147329
131,0.24337592,109.5825571,94.95728591,2.125767502,432.8815698,1.0680025,201.087194,82.49303612,0.525568575,383.0152705
132,0.456279734,44.24724224,12.40625743,4.815200605,717.6466366,1.060481007,157.5869847,4.189143227,4.235969952,421.7131659
133,0.494249022,151.5687858,22.55430636,1.644031778,378.4879273,1.050039817,103.5692065,97.75788279,4.640641315,796.4570081
134,1.120618343,226.4505916,86.27722414,1.30894508,759.159988,0.717625007,78.95500729,14.23363476,4.686892446,404.9432621
135,0.908532618,155.979885,58.40127989,2.941478208,43.17130138,0.300413948,94.73449873,16.8062789,2.203765186,506.7440528
136,1.377274735,196.2129767,33.41327211,0.895561049,395.1403452,1.250595948,169.1834668,90.58285199,2.890886494,498.3271068
137,0.777354981,209.6823429,66.73646217,4.451816222,279.1999328,0.405459403,46.5891018,24.90102216,0.563800102,458.7658141
138,0.430059486,42.52776199,98.79288054,2.237279989,771.2631961,1.064034775,211.7507725,93.90968812,3.45784928,415.960489
139,1.169873905,42.35988962,73.88321804,4.568853791,146.7894575,0.757621305,242.7311319,94.31456245,3.978299377,42.43770115
140,0.661403137,246.8763512,12.98119872,1.393560008,614.2673017,0.547071228,100.3121007,70.96208882,2.720089885,200.67781
141,0.297922942,94.92879374,83.18752993,0.744505324,198.1591606,1.053263164,150.5772803,10.7653289,4.507111948,517.225013
142,0.151638902,243.3769228,3.233671809,4.112153203,214.7368048,0.655954744,213.5102917,66.45215097,4.2316536,34.63952681
143,0.559703141,120.9946238,92.74750623,2.778740281,439.2459294,0.782537963,135.7699837,17.84113712,1.195763517,264.1342719
144,0.8867384,140.7352992,69.1258215,1.372664859,327.9017384,0.209455619,126.2908858,18.83929171,4.190240003,397.8147291
145,1.397602305,100.8871194,14.52929279,3.181945261,632.9807513,0.622267084,241.5160997,37.30619207,3.731086641,228.2544967
146,0.917351703,235.7284631,88.61406159,4.378031373,441.572391,0.383075588,102.7274437,97.05376199,2.628657683,632.0767265
147,1.417152485,118.0301338,60.06587831,2.288633358,265.875386,0.998969169,96.00962155,14.71789862,3.823580245,65.52377157
148,0.123345383,71.76989573,5.217583124,4.214540444,317.5378765,0.183085199,101.0200973,85.8099896,1.087811542,582.6230992
149,1.320927812,204.566691,34.19283587,1.571474875,205.4112543,1.245115703,206.1691697,61.93395993,2.555277902,260.545952
150,0.671715582,148.2921295,96.2876497,0.810744612,563.902331,1.043629695,167.744359,75.34527519,1.689292453,363.4905542
151,1.486369991,155.0031688,23.66919334,1.897946969,229.1754252,0.60909684,200.5183433,22.69811191,2.578956218,220.4115909
152,0.399230961,228.0532562,80.57169594,1.345601989,508.2831882,0.138080407,163.2940836,7.700159665,2.931059534,77.59622457
153,0.506615386,210.1066562,18.62522084,3.967548797,450.2915603,1.242422026,185.3624719,36.3292267,0.991522332,403.197518
154,1.235485465,95.3500004,7.958482055,4.11379274,670.7762929,0.158065961,56.69351395,77.68428052,2.452350227,584.0420866
155,1.479194233,152.9087236,78.4755363,4.803903776,325.4000737,1.491617403,148.4869611,30.38550504,1.483693556,426.8031944
156,0.717486739,64.48871419,16.05513556,1.849966695,171.2122136,0.626858982,130.8324264,71.35268754,4.868905761,681.7813287
157,1.104009116,219.092781,28.82363459,2.019181042,652.1414032,0.492130148,59.30386642,25.41691231,4.649672759,625.0540407
158,0.473792407,96.31048199,17.50204989,2.559913241,240.1118308,1.164149021,189.3468221,93.43873537,3.169277774,338.7907945
159,0.971841957,153.2896985,45.07050266,3.872705058,694.0964113,0.8176465,121.8548053,72.15482262,0.591920037,136.9610716
160,0.832020444,211.7835532,97.89319077,2.49574224,246.1722583,0.524786124,47.92751854,31.12075143,2.281941681,143.6039719
161,1.245771929,83.24079201,38.31431207,4.906961478,104.823205,0.596193329,34.06190306,97.46769346,4.591998358,460.3380123
162,0.40272475,165.0432859,30.67427683,0.980845275,120.7995989,1.276298387,172.6819995,55.86136908,1.439856337,414.4480405
163,0.344825663,93.16644999,92.17456884,4.152231325,216.887506,1.266100871,247.5245208,50.27966454,4.678797279,248.7011403
164,0.584382679,33.24929304,85.43038066,2.983230068,672.3707666,0.687481629,89.21516565,30.86522411,3.103288043,40.29490044
165,1.460385961,54.89553585,75.22792636,1.738963924,580.5846845,0.454012352,220.9505581,75.63409673,2.190239804,140.6410503
166,0.51532752,61.95402856,28.29517618,1.069966096,453.2314161,1.391812546,199.5311998,59.29376557,1.015275004,318.3855246
167,0.677813569,76.53635909,51.22511182,4.200140647,193.1991018,0.225368129,116.3252214,46.83678978,2.936017097,597.1944645
168,0.524427969,98.67271206,88.93356884,1.258827777,737.580497,0.655063178,189.0823946,19.51914269,2.994694102,642.4237363
169,0.184692853,132.6072136,38.14423815,1.887540391,301.7007465,0.262188687,67.01569018,52.321428,3.330300007,641.517501
170,0.278336717,121.2931915,29.2385818,2.356001903,680.4413077,0.990304676,198.1879554,28.76107711,1.094862566,478.3226272
171,1.050874719,199.5825354,16.41278127,3.077739819,504.6618006,0.215908935,223.4128613,12.83239431,1.123451941,39.50327099
172,0.51410583,196.7220995,74.40834386,1.31463239,339.5443921,0.129870034,110.7519789,24.73300023,2.50341417,581.8428846
173,0.197399013,159.0297355,91.72994667,2.969510373,576.6476648,0.59745986,225.8183805,61.36325414,0.624723725,171.6444127
174,0.647599881,60.43725465,79.66470575,3.831111636,543.0485976,0.941726465,40.53081279,68.25259036,1.475817197,670.6367086
175,0.860961276,96.64525133,37.31477669,2.785017633,675.3498914,0.787576086,147.66944,5.909963013,3.379424597,216.5964892
176,1.202367259,132.0411592,54.61510971,3.308796835,654.3341161,0.366052599,130.3818684,60.58603647,1.929282982,273.9712275
177,0.393814519,230.2664802,91.61160533,2.230584585,439.8824757,0.916544035,100.5718857,6.906061335,4.253475016,683.9301205
178,1.423430176,115.8012076,53.98254315,1.213336833,282.0492684,0.333659617,30.06025652,7.418427871,3.996169821,377.1288317
179,1.117265605,211.7225912,95.56184608,1.158521763,788.3604737,0.386111025,152.3690034,93.81696342,3.946369714,760.728604
180,0.651450692,129.0661891,96.19635552,3.270220086,135.3070437,0.954779498,153.5808036,34.7527082,4.243516518,119.1959687
181,0.498996854,105.2289317,4.475406299,3.790899966,775.2760654,1.045351111,34.88636789,37.98479871,0.529379641,124.142235
182,0.814520384,135.2518779,72.77653674,2.457541613,601.6638666,0.937800042,196.7454801,83.90045379,0.714602102,302.6244658
183,0.333864877,108.8757001,67.28984981,4.999765682,129.8456922,0.508997849,216.1562683,53.36556516,2.009790834,711.324873
184,0.144363456,249.7344456,26.06299227,2.19820622,641.6552475,1.108987055,180.7767493,92.73070839,1.292043779,638.109103
185,1.470463204,72.84600343,44.33701929,0.650053157,123.0271881,0.371624147,205.7135963,3.917216191,2.444478214,428.2446332
186,1.318490225,213.5205675,29.30512729,0.96261071,712.6343841,0.704258946,47.03785325,10.89200873,4.779164242,254.1720842
187,1.42757914,46.89698173,28.23640215,2.045040155,629.0671437,0.874780346,36.67626974,18.6626281,2.290179141,772.0948345
188,0.146651693,194.5979501,77.04456047,3.137728944,736.504106,1.028290173,115.6576819,62.8375223,1.766757783,569.2215505
189,0.347144202,202.2228717,28.65582325,4.050624958,797.923908,0.745926966,192.269407,41.31337535,4.936314259,245.7338312
190,1.092355338,201.2956083,38.75083008,0.91349615,530.9140393,0.997739468,105.5239782,13.7188416,2.962154263,358.3220857
191,0.770409289,218.476944,57.39731093,3.893308811,486.1887197,0.950737056,102.1977128,89.47350494,3.711306426,436.6904782
192,0.58689939,183.1041783,5.492475546,2.515738718,276.7098667,0.586292841,138.5336159,75.37652544,3.678315381,311.4717611
193,1.184297819,125.8256373,43.21437776,2.938443831,560.9875517,0.274494953,248.6496307,18.59658065,1.731687803,568.1940992
194,0.763424285,132.4686898,31.59352446,2.441426127,586.1448934,1.471171877,32.75666089,39.82615317,1.113176752,407.5641563
195,1.400497309,111.7595803,22.68722991,1.895803632,693.6972173,0.46569831,158.3136373,11.30198563,1.968382283,466.949014
196,1.465521004,115.6268278,90.23065048,1.548309437,785.488272,1.443516919,110.0303343,3.625934585,1.511982455,120.3189235
197,0.523675463,101.2317427,52.27088352,4.991020369,349.8857277,1.32420081,224.0589007,60.3294033,3.927875858,257.8759781
198,1.031837562,185.9703466,91.95298464,4.593259971,682.6685999,0.500490997,86.78160145,55.72855496,2.404947074,308.4303391
199,0.579517392,237.5974458,89.39510432,2.386709607,299.8963792,0.284926183,42.3453072,62.55378762,2.561740155,490.4412172
200,0.529137992,153.4760271,4.850553345,3.372126501,38.41287089,0.844693047,112.3124121,38.21625339,2.296156256,486.0267125
201,0.152929411,224.2357109,75.44521977,4.349499877,620.0628112,1.271831799,34.47237874,44.79914967,4.520947804,669.1421159
202,1.042373407,97.15825247,6.899338109,2.410828429,211.2284617,0.652064934,66.08223445,61.78183884,1.242721779,504.8813718
203,0.94340073,54.167268,94.26300479,1.290407238,728.7448361,0.797241159,225.7167825,98.00985255,1.345654767,759.1902651
204,1.112421106,176.1372046,78.84705434,2.428919174,333.9916166,0.363721502,54.70084741,39.89956351,1.652793803,114.8824713
205,1.372720407,232.2970307,40.96907166,4.061926943,32.81252426,0.239034043,111.6654412,57.02602672,4.734952774,690.1419771
206,0.551335217,65.37053077,46.98452541,1.025223331,537.6063361,0.174664511,129.7155359,4.852259533,4.600625304,623.6673466
207,0.625713335,35.57553778,98.10416346,2.15714597,30.18923482,0.164403375,71.55885985,49.27054116,1.801984459,768.8113679
208,0.110623134,85.30467273,68.51470217,4.322859555,686.4693496,0.461104925,95.48964323,83.21148164,2.524933666,386.6270098
209,0.3378485,147.1346684,97.09310187,0.903194581,428.125749,0.659128263,77.78413588,29.72656392,0.693739282,265.4300252
210,0.153517188,40.65866787,63.70921518,4.161630426,298.8677699,0.642042044,224.6875495,22.8807357,1.800580177,210.2433741
211,0.994411189,239.1525658,71.73641594,2.099919119,551.287487,0.607024323,245.2373522,69.96038334,2.873625151,283.356261
212,1.46822535,169.3796959,70.36622068,4.910168805,100.6357803,1.150704813,167.1904553,72.55974992,4.950843011,671.8495338
213,0.376208956,49.74123994,36.2391358,1.405858127,300.0693015,1.45255819,210.6006419,17.62505505,3.371069252,638.8984757
214,0.310494608,92.25145311,89.81899802,2.85688445,753.4678171,1.381186093,53.75634738,44.26922893,2.551745094,296.2925287
215,0.562738695,82.41277269,33.75462767,0.609388098,458.6840967,1.230600612,64.89530223,27.85449234,1.39651043,477.0573721
216,0.189855533,43.19178211,13.94118735,4.131201979,737.8712049,0.791171183,76.06000118,67.34776342,4.646798847,147.8681477
217,0.127699008,188.3321534,66.23198598,0.578838169,662.855012,0.831331899,157.3092231,21.31476567,4.795882316,235.7940136
218,0.94848163,150.0962676,53.72512078,2.052959663,575.2917715,1.213304473,174.1636961,11.05376145,1.840454555,346.6407688
219,0.564089495,46.06111079,20.17633614,4.033704811,162.7832347,0.391325506,160.5235684,24.30644781,2.534419369,614.2175611
220,1.123447513,67.28498811,47.78172266,0.708316047,243.5596532,1.159470682,178.5122028,29.56266483,1.686091101,570.2227007
221,0.567453321,156.1233524,49.41712334,4.382801975,567.9492254,0.712343705,207.784444,70.00100451,4.789123963,462.5870005
222,0.80217426,64.02028234,36.26604778,0.528145226,288.3323673,1.166933633,137.3792129,95.87668694,1.181218238,608.39797
223,0.402008798,239.9036368,25.63909944,3.677228929,280.6155364,0.101703217,132.7023682,3.377504246,2.244417254,218.5882064
224,0.180257526,30.22217079,44.01271295,0.721524533,670.5702711,1.028416798,34.29464533,21.96242532,4.272882926,700.9424659
